2022-06-23 04:05:34 install libsqlite3-0:amd64 <none> 3.27.2-3+deb10u1
2022-06-23 04:05:34 status half-installed libsqlite3-0:amd64 3.27.2-3+deb10u1
2022-06-23 04:05:34 status unpacked libsqlite3-0:amd64 3.27.2-3+deb10u1
2022-06-23 04:05:34 install gpg:amd64 <none> 2.2.12-1+deb10u1
2022-06-23 04:05:34 status half-installed gpg:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:34 status unpacked gpg:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:34 install pinentry-curses:amd64 <none> 1.1.0-2
2022-06-23 04:05:34 status half-installed pinentry-curses:amd64 1.1.0-2
2022-06-23 04:05:34 status unpacked pinentry-curses:amd64 1.1.0-2
2022-06-23 04:05:34 install gpg-agent:amd64 <none> 2.2.12-1+deb10u1
2022-06-23 04:05:34 status half-installed gpg-agent:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:34 status unpacked gpg-agent:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:34 install gpg-wks-client:amd64 <none> 2.2.12-1+deb10u1
2022-06-23 04:05:34 status half-installed gpg-wks-client:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:34 status unpacked gpg-wks-client:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:34 install gpg-wks-server:amd64 <none> 2.2.12-1+deb10u1
2022-06-23 04:05:34 status half-installed gpg-wks-server:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:34 status unpacked gpg-wks-server:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:34 install gpgsm:amd64 <none> 2.2.12-1+deb10u1
2022-06-23 04:05:34 status half-installed gpgsm:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:34 status unpacked gpgsm:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:34 install gnupg:all <none> 2.2.12-1+deb10u1
2022-06-23 04:05:34 status half-installed gnupg:all 2.2.12-1+deb10u1
2022-06-23 04:05:34 status unpacked gnupg:all 2.2.12-1+deb10u1
2022-06-23 04:05:34 startup packages configure
2022-06-23 04:05:34 configure libksba8:amd64 1.3.5-2 <none>
2022-06-23 04:05:34 status unpacked libksba8:amd64 1.3.5-2
2022-06-23 04:05:34 status half-configured libksba8:amd64 1.3.5-2
2022-06-23 04:05:34 status installed libksba8:amd64 1.3.5-2
2022-06-23 04:05:34 configure lsb-base:all 10.2019051400 <none>
2022-06-23 04:05:34 status unpacked lsb-base:all 10.2019051400
2022-06-23 04:05:34 status half-configured lsb-base:all 10.2019051400
2022-06-23 04:05:34 status installed lsb-base:all 10.2019051400
2022-06-23 04:05:34 configure libsqlite3-0:amd64 3.27.2-3+deb10u1 <none>
2022-06-23 04:05:34 status unpacked libsqlite3-0:amd64 3.27.2-3+deb10u1
2022-06-23 04:05:34 status half-configured libsqlite3-0:amd64 3.27.2-3+deb10u1
2022-06-23 04:05:34 status installed libsqlite3-0:amd64 3.27.2-3+deb10u1
2022-06-23 04:05:34 configure libnpth0:amd64 1.6-1 <none>
2022-06-23 04:05:34 status unpacked libnpth0:amd64 1.6-1
2022-06-23 04:05:34 status half-configured libnpth0:amd64 1.6-1
2022-06-23 04:05:34 status installed libnpth0:amd64 1.6-1
2022-06-23 04:05:34 configure libassuan0:amd64 2.5.2-1 <none>
2022-06-23 04:05:34 status unpacked libassuan0:amd64 2.5.2-1
2022-06-23 04:05:34 status half-configured libassuan0:amd64 2.5.2-1
2022-06-23 04:05:34 status installed libassuan0:amd64 2.5.2-1
2022-06-23 04:05:34 configure libldap-common:all 2.4.47+dfsg-3+deb10u7 <none>
2022-06-23 04:05:34 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u7
2022-06-23 04:05:34 status half-configured libldap-common:all 2.4.47+dfsg-3+deb10u7
2022-06-23 04:05:34 status installed libldap-common:all 2.4.47+dfsg-3+deb10u7
2022-06-23 04:05:34 configure libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u2 <none>
2022-06-23 04:05:34 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u2
2022-06-23 04:05:34 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u2
2022-06-23 04:05:34 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u2
2022-06-23 04:05:34 configure gnupg-l10n:all 2.2.12-1+deb10u1 <none>
2022-06-23 04:05:34 status unpacked gnupg-l10n:all 2.2.12-1+deb10u1
2022-06-23 04:05:34 status half-configured gnupg-l10n:all 2.2.12-1+deb10u1
2022-06-23 04:05:34 status installed gnupg-l10n:all 2.2.12-1+deb10u1
2022-06-23 04:05:34 configure libsasl2-2:amd64 2.1.27+dfsg-1+deb10u2 <none>
2022-06-23 04:05:34 status unpacked libsasl2-2:amd64 2.1.27+dfsg-1+deb10u2
2022-06-23 04:05:34 status half-configured libsasl2-2:amd64 2.1.27+dfsg-1+deb10u2
2022-06-23 04:05:34 status installed libsasl2-2:amd64 2.1.27+dfsg-1+deb10u2
2022-06-23 04:05:34 configure readline-common:all 7.0-5 <none>
2022-06-23 04:05:34 status unpacked readline-common:all 7.0-5
2022-06-23 04:05:34 status half-configured readline-common:all 7.0-5
2022-06-23 04:05:34 status installed readline-common:all 7.0-5
2022-06-23 04:05:34 configure libreadline7:amd64 7.0-5 <none>
2022-06-23 04:05:34 status unpacked libreadline7:amd64 7.0-5
2022-06-23 04:05:34 status half-configured libreadline7:amd64 7.0-5
2022-06-23 04:05:34 status installed libreadline7:amd64 7.0-5
2022-06-23 04:05:34 configure gnupg-utils:amd64 2.2.12-1+deb10u1 <none>
2022-06-23 04:05:34 status unpacked gnupg-utils:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:34 status half-configured gnupg-utils:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:35 status installed gnupg-utils:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:35 configure pinentry-curses:amd64 1.1.0-2 <none>
2022-06-23 04:05:35 status unpacked pinentry-curses:amd64 1.1.0-2
2022-06-23 04:05:35 status half-configured pinentry-curses:amd64 1.1.0-2
2022-06-23 04:05:35 status installed pinentry-curses:amd64 1.1.0-2
2022-06-23 04:05:35 configure libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u7 <none>
2022-06-23 04:05:35 status unpacked libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u7
2022-06-23 04:05:35 status half-configured libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u7
2022-06-23 04:05:35 status installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u7
2022-06-23 04:05:35 configure gpgconf:amd64 2.2.12-1+deb10u1 <none>
2022-06-23 04:05:35 status unpacked gpgconf:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:35 status half-configured gpgconf:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:35 status installed gpgconf:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:35 configure gpg:amd64 2.2.12-1+deb10u1 <none>
2022-06-23 04:05:35 status unpacked gpg:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:35 status half-configured gpg:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:35 status installed gpg:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:35 configure gpg-agent:amd64 2.2.12-1+deb10u1 <none>
2022-06-23 04:05:35 status unpacked gpg-agent:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:35 status half-configured gpg-agent:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:35 status installed gpg-agent:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:35 configure gpgsm:amd64 2.2.12-1+deb10u1 <none>
2022-06-23 04:05:35 status unpacked gpgsm:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:35 status half-configured gpgsm:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:35 status installed gpgsm:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:35 configure dirmngr:amd64 2.2.12-1+deb10u1 <none>
2022-06-23 04:05:35 status unpacked dirmngr:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:35 status half-configured dirmngr:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:35 status installed dirmngr:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:35 configure gpg-wks-server:amd64 2.2.12-1+deb10u1 <none>
2022-06-23 04:05:35 status unpacked gpg-wks-server:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:35 status half-configured gpg-wks-server:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:35 status installed gpg-wks-server:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:35 configure gpg-wks-client:amd64 2.2.12-1+deb10u1 <none>
2022-06-23 04:05:35 status unpacked gpg-wks-client:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:35 status half-configured gpg-wks-client:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:35 status installed gpg-wks-client:amd64 2.2.12-1+deb10u1
2022-06-23 04:05:35 configure gnupg:all 2.2.12-1+deb10u1 <none>
2022-06-23 04:05:35 status unpacked gnupg:all 2.2.12-1+deb10u1
2022-06-23 04:05:35 status half-configured gnupg:all 2.2.12-1+deb10u1
2022-06-23 04:05:35 status installed gnupg:all 2.2.12-1+deb10u1
2022-06-23 04:05:35 trigproc libc-bin:amd64 2.28-10+deb10u1 <none>
2022-06-23 04:05:35 status half-configured libc-bin:amd64 2.28-10+deb10u1
2022-06-23 04:05:35 status installed libc-bin:amd64 2.28-10+deb10u1
